"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태명","폐업일자","휴업시작일자","휴업종료일자","소재지우편번호","도로명우편번호","사업장명","데이터갱신구분","데이터갱신시점","도로명주소","상세영업상태명","상세영업상태코드","약국영업면적","영업상태코드","전화번호","좌표정보(X)","좌표정보(Y)","지번주소","지정일자","최종수정시점"
"3000000","PHMD120253000034084000003","2025-04-21","","영업/정상","","","","","03105","365열린동대문약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 323, 1층 (창신동)","영업중","13","50","01","","201124.409566197 ","452260.805371908 ","서울특별시 종로구 창신동 176","2025-04-21","2025-07-02 17:14:21"
"3000000","PHMD120253000034084000004","2025-05-13","","영업/정상","","","","","03130","보생약국","I","2026-04-22 22:31:11","서울특별시 종로구 종로 197-2 (종로4가)","영업중","13","20","01","027637877","199899.354998282 ","452086.312203005 ","","2025-05-13","2025-10-20 10:22:58"
"3000000","PHMD120253000034084000005","2025-05-16","","영업/정상","","","","","03195","종로5가8번출구약국","I","2026-04-22 22:31:12","서울특별시 종로구 종로 210, B 104호, 1층 108호, 109호, 110호 (종로5가)","영업중","13","97","01","","200037.109448982 ","452040.235649199 ","서울특별시 종로구 종로5가 138-4","2025-05-16","2026-03-10 11:28:49"
"3000000","PHMD120253000034084000006","2025-06-04","","영업/정상","","","","","03079","대학로대학약국","I","2026-04-22 22:31:12","서울특별시 종로구 대학로 119, 1~2층 (명륜4가)","영업중","13","202","01","027621190","200076.361629058 ","453291.955608107 ","서울특별시 종로구 명륜4가 94-2","2025-06-04","2025-11-10 10:03:29"
"3000000","PHMD120253000034084000007","2025-07-07","","영업/정상","","","","","03139","종로탑약국","I","2026-04-22 22:31:12","서울특별시 종로구 수표로 112, 1층 (낙원동)","영업중","13","20","01","","198994.48584677 ","452101.151699707 ","서울특별시 종로구 낙원동 176","2025-07-07","2025-07-07 10:10:58"
"3000000","PHMD120253000034084000008","2025-09-02","","영업/정상","","","","","03157","종로이층약국","I","2026-04-22 22:31:12","서울특별시 종로구 종로 19, 르메이에르종로타운1 2층 225(일부)호 (종로1가)","영업중","13","21","01","0269532251","198150.300374121 ","452019.212642931 ","서울특별시 종로구 종로1가 24 르메이에르종로타운1","2025-09-02","2025-09-02 10:30:58"
"3000000","PHMD120253000034084000009","2025-11-10","","영업/정상","","","","","03082","주차편한천사약국","I","2026-04-22 22:31:12","서울특별시 종로구 대학로 87, 1~2층 (연건동)","영업중","13","150","01","0266771009","200094.575147705 ","452970.803305174 ","서울특별시 종로구 연건동 37","2025-11-10","2025-11-10 09:35:13"
"3000000","PHMD120253000034084000011","2025-12-08","","영업/정상","","","","","03188","옵티마 웰니스 뮤지엄 종각약국","I","2026-04-22 22:31:12","서울특별시 종로구 청계천로 41, 영풍빌딩 지하2층 B202호 (서린동)","영업중","13","252","01","","198351.818737482 ","451921.60302604 ","서울특별시 종로구 서린동 33 영풍빌딩","2025-12-08","2025-12-11 11:32:27"
"3000000","PHMD120253000034084000012","2025-12-26","","영업/정상","","","","","03181","다가가는약국","I","2026-04-22 22:31:12","서울특별시 종로구 새문안로 17, 4.19기념도서관 3층 (평동)","영업중","13","98","01","0262617575","197076.316936233 ","451690.586861352 ","서울특별시 종로구 평동 166 4.19기념도서관","2025-12-26","2025-12-26 10:59:18"
"3000000","PHMD120263000034084000001","2026-01-07","","영업/정상","","","","","03130","종로더서울약국","I","2026-04-22 22:31:12","서울특별시 종로구 종로 197, 1층 (종로4가)","영업중","13","85","01","027662055","199890.81381782 ","452093.260628925 ","서울특별시 종로구 종로4가 6-4","2026-01-07","2026-01-07 09:36:43"
